Name chr start end width strand leno
16305 ENSG00000186827.10 chr1 1211326 1214132 2807 - 2807
1439 ENSG00000078808.16 chr1 1216908 1232031 15124 - 15124
13963 ENSG00000176022.4 chr1 1232265 1235041 2777 + 2777
15638 ENSG00000184163.3 chr1 1242453 1246722 4270 - 4270
45296 ENSG00000260179.1 chr1 1249777 1251334 1558 - 1558
10394 ENSG00000160087.20 chr1 1253909 1273885 19977 - 19977
29294 ENSG00000230415.1 chr1 1275223 1280420 5198 + 5198
10734 ENSG00000162572.20 chr1 1280436 1292029 11594 + 11594
6457 ENSG00000131584.18 chr1 1292376 1308018 15643 - 15643
12692 ENSG00000169972.11 chr1 1308567 1311584 3018 + 3018
5872 ENSG00000127054.20 chr1 1311678 1324691 13014 - 13014
35537 ENSG00000240731.1 chr1 1317581 1318678 1098 - 1098
24955 ENSG00000224051.6 chr1 1324756 1328897 4142 + 4142
12689 ENSG00000169962.4 chr1 1331314 1335275 3962 + 3962
3409 ENSG00000107404.19 chr1 1335307 1349350 14044 - 14044
10735 ENSG00000162576.16 chr1 1352689 1361777 9089 - 9089
13917 ENSG00000175756.13 chr1 1373730 1375495 1766 - 1766
23997 ENSG00000221978.11 chr1 1386482 1399328 12847 - 12847
25518 ENSG00000224870.6 chr1 1399522 1401907 2386 + 2386
36227 ENSG00000242485.5 chr1 1402047 1407313 5267 - 5267
51011 ENSG00000272455.1 chr1 1409096 1410618 1523 + 1523
14644 ENSG00000179403.11 chr1 1434861 1442882 8022 + 8022
23160 ENSG00000215915.9 chr1 1449689 1470158 20470 + 20470
10392 ENSG00000160072.19 chr1 1471769 1496202 24434 + 24434
17503 ENSG00000197785.13 chr1 1512151 1534687 22537 + 22537
20050 ENSG00000205090.8 chr1 1535174 1540453 5280 - 5280
10393 ENSG00000160075.11 chr1 1541673 1574869 33197 - 33197
22895 ENSG00000215014.4 chr1 1574975 1577075 2101 + 2101
28052 ENSG00000228594.3 chr1 1598012 1600096 2085 - 2085
50826 ENSG00000272106.1 chr1 1613758 1615795 2038 - 2038
17417 ENSG00000197530.12 chr1 1615879 1630610 14732 + 14732
16931 ENSG00000189409.13 chr1 1632095 1635226 3132 + 3132
37521 ENSG00000248333.8 chr1 1635264 1659012 23749 - 23749
16914 ENSG00000189339.11 chr1 1659529 1692728 33200 - 33200
49491 ENSG00000269737.2 chr1 1671990 1674397 2408 + 2408
23159 ENSG00000215914.4 chr1 1699942 1701782 1841 + 1841
204 ENSG00000008128.22 chr1 1702730 1724324 21595 - 21595
27509 ENSG00000227775.3 chr1 1724512 1737251 12740 + 12740
23113 ENSG00000215790.6 chr1 1724838 1745992 21155 - 21155
205 ENSG00000008130.15 chr1 1751232 1780457 29226 - 29226
1421 ENSG00000078369.17 chr1 1785285 1891117 105833 - 105833
12667 ENSG00000169885.9 chr1 1914827 1917294 2468 + 2468
1014 ENSG00000067606.16 chr1 2050470 2175313 124844 + 124844
50672 ENSG00000271806.1 chr1 2141084 2145279 4196 - 4196
15319 ENSG00000182873.5 chr1 2181794 2184389 2596 - 2596
10736 ENSG00000162585.16 chr1 2184461 2212720 28260 - 28260
10133 ENSG00000157933.9 chr1 2228695 2310119 81425 + 81425
4528 ENSG00000116151.13 chr1 2321253 2391707 70455 - 70455
49546 ENSG00000269896.2 chr1 2350414 2352820 2407 - 2407
10131 ENSG00000157916.19 chr1 2391775 2403963 12189 + 12189
10130 ENSG00000157911.9 chr1 2405445 2413797 8353 - 8353
9200 ENSG00000149527.17 chr1 2425980 2505526 79547 + 79547
10126 ENSG00000157881.13 chr1 2508533 2526628 18096 - 18096
51010 ENSG00000272449.1 chr1 2546465 2547460 996 + 996
34585 ENSG00000238164.6 chr1 2549920 2557031 7112 - 7112
10125 ENSG00000157873.17 chr1 2556697 2565382 8686 + 8686
26234 ENSG00000225931.3 chr1 2566410 2569888 3479 + 3479
27672 ENSG00000228037.1 chr1 2581560 2584533 2974 + 2974
10124 ENSG00000157870.14 chr1 2586491 2591469 4979 + 4979
8234 ENSG00000142606.15 chr1 2591557 2632990 41434 - 41434
23158 ENSG00000215912.12 chr1 2635976 2801717 165742 - 165742
10737 ENSG00000162591.15 chr1 3489920 3611495 121576 - 121576
34650 ENSG00000238260.1 chr1 3623190 3624743 1554 - 1554
10156 ENSG00000158109.14 chr1 3625002 3630127 5126 + 5126
4541 ENSG00000116213.15 chr1 3630767 3652761 21995 - 21995
1442 ENSG00000078900.14 chr1 3652520 3735600 83081 + 83081
27246 ENSG00000227372.11 chr1 3736202 3747336 11135 - 11135
32541 ENSG00000235169.7 chr1 3772788 3775982 3195 + 3195
6325 ENSG00000130764.9 chr1 3778558 3796504 17947 - 17947
50851 ENSG00000272153.1 chr1 3785008 3785538 531 + 531
4536 ENSG00000116198.12 chr1 3812081 3857214 45134 - 45134
12601 ENSG00000169598.15 chr1 3857267 3885429 28163 + 28163
17911 ENSG00000198912.10 chr1 3889125 3900285 11161 - 11161
33370 ENSG00000236423.5 chr1 3900372 3917225 16854 + 16854
6468 ENSG00000131697.17 chr1 5862811 5992362 129552 - 129552
1072 ENSG00000069424.14 chr1 5991466 6101193 109728 + 109728
4546 ENSG00000116254.17 chr1 6101793 6180123 78331 - 78331
4545 ENSG00000116251.9 chr1 6181269 6209389 28121 - 28121
10174 ENSG00000158286.12 chr1 6206176 6221192 15017 + 15017
4544 ENSG00000116237.15 chr1 6221300 6235972 14673 - 14673
10176 ENSG00000158292.6 chr1 6247346 6260975 13630 - 13630
2070 ENSG00000097021.19 chr1 6264269 6393554 129286 - 129286
16355 ENSG00000187017.15 chr1 6424788 6460980 36193 + 36193
23112 ENSG00000215788.9 chr1 6461151 6466091 4941 - 4941
13092 ENSG00000171680.21 chr1 6466196 6520061 53866 - 53866
10698 ENSG00000162408.10 chr1 6521347 6554535 33189 - 33189
19971 ENSG00000204859.12 chr1 6580001 6589280 9280 + 9280
10700 ENSG00000162413.16 chr1 6590724 6614607 23884 - 23884
4549 ENSG00000116273.5 chr1 6613685 6624033 10349 + 10349
579 ENSG00000041988.15 chr1 6624866 6634167 9302 + 9302
194 ENSG00000007923.15 chr1 6635587 6701924 66338 - 66338
13104 ENSG00000171735.18 chr1 6785324 7769706 984383 + 984383
656 ENSG00000049245.12 chr1 7771269 7781432 10164 + 10164
49564 ENSG00000269925.1 chr1 7776383 7776775 393 + 393
657 ENSG00000049246.14 chr1 7784320 7845177 60858 + 60858
658 ENSG00000049247.13 chr1 7846692 7853512 6821 - 6821
659 ENSG00000049249.8 chr1 7915894 7943165 27272 - 27272
4551 ENSG00000116288.12 chr1 7954291 7985505 31215 + 31215
4550 ENSG00000116285.12 chr1 8004404 8026308 21905 - 21905
10703 ENSG00000162426.14 chr1 8317826 8344167 26342 + 26342
8233 ENSG00000142599.17 chr1 8352397 8817643 465247 - 465247
30994 ENSG00000232912.5 chr1 8424645 8434838 10194 + 10194
1275 ENSG00000074800.13 chr1 8861002 8879249 18248 - 18248
33264 ENSG00000236269.1 chr1 8875788 8878007 2220 - 2220
30511 ENSG00000232208.2 chr1 8907393 8907744 352 - 352
6467 ENSG00000131686.14 chr1 8945867 8975092 29226 + 29226
8232 ENSG00000142583.17 chr1 9035107 9088478 53372 - 53372
14886 ENSG00000180758.11 chr1 9100305 9129170 28866 - 28866
655 ENSG00000049239.12 chr1 9234775 9271337 36563 + 36563
13083 ENSG00000171621.13 chr1 9292880 9369532 76653 + 76653
13081 ENSG00000171612.6 chr1 9539482 9585179 45698 + 45698
16781 ENSG00000188807.12 chr1 9588922 9614873 25952 + 25952
13079 ENSG00000171608.15 chr1 9651732 9729025 77294 + 77294
14714 ENSG00000179840.5 chr1 9652610 9654586 1977 - 1977
13076 ENSG00000171603.16 chr1 9729115 9824526 95412 - 95412
14479 ENSG00000178585.14 chr1 9848276 9910336 62061 - 62061
10709 ENSG00000162441.11 chr1 9922113 9943407 21295 - 21295
13524 ENSG00000173614.13 chr1 9943428 9985501 42074 + 42074
10710 ENSG00000162444.11 chr1 9997206 10016020 18815 + 18815
6353 ENSG00000130939.18 chr1 10032832 10181239 148408 + 148408
728 ENSG00000054523.17 chr1 10210805 10381603 170799 + 170799
8245 ENSG00000142657.20 chr1 10398592 10420144 21553 + 21553
13827 ENSG00000175279.21 chr1 10430783 10442809 12027 + 12027
35863 ENSG00000241563.3 chr1 10449719 10451902 2184 + 2184
10386 ENSG00000160049.11 chr1 10456522 10472526 16005 - 16005
8244 ENSG00000142655.12 chr1 10474887 10630758 155872 + 155872
6354 ENSG00000130940.14 chr1 10636604 10796650 160047 - 160047
50810 ENSG00000272078.1 chr1 10640060 10654333 14274 + 14274
13822 ENSG00000175262.14 chr1 10946473 10982037 35565 - 35565
5111 ENSG00000120948.16 chr1 11012344 11026420 14077 + 14077
238 ENSG00000009724.16 chr1 11026523 11047233 20711 - 20711
50713 ENSG00000271895.2 chr1 11029659 11030528 870 + 870
4577 ENSG00000116649.9 chr1 11054589 11060024 5436 - 5436
13129 ENSG00000171824.13 chr1 11066618 11098156 31539 - 31539
26876 ENSG00000226849.1 chr1 11068471 11073097 4627 + 4627
17840 ENSG00000198793.12 chr1 11106535 11262507 155973 - 155973
5110 ENSG00000120942.13 chr1 11273206 11296049 22844 + 22844
4579 ENSG00000116661.9 chr1 11648367 11655785 7419 - 7419
6663 ENSG00000132879.13 chr1 11654857 11663327 8471 + 8471
4580 ENSG00000116663.10 chr1 11664124 11674354 10231 + 10231
4583 ENSG00000116670.14 chr1 11674480 11691650 17171 - 17171
10716 ENSG00000162490.6 chr1 11691729 11725857 34129 + 34129
14312 ENSG00000177674.15 chr1 11736084 11754802 18719 + 18719
14174 ENSG00000177000.10 chr1 11785723 11806920 21198 - 21198
278 ENSG00000011021.21 chr1 11807131 11843144 36014 + 36014
36180 ENSG00000242349.5 chr1 11843704 11848079 4376 + 4376
13814 ENSG00000175206.10 chr1 11845767 11848345 2579 - 2579
4587 ENSG00000116685.15 chr1 11919591 11926428 6838 - 6838
1592 ENSG00000083444.16 chr1 11934205 11975538 41334 + 41334
4588 ENSG00000116688.16 chr1 11980181 12013514 33334 + 33334
4590 ENSG00000116691.10 chr1 12019466 12032045 12580 + 12580
5112 ENSG00000120949.14 chr1 12063377 12144207 80831 + 80831
468 ENSG00000028137.18 chr1 12167039 12209228 42190 + 42190
46917 ENSG00000263676.1 chr1 12191713 12191773 61 + 61
647 ENSG00000048707.13 chr1 12230067 12512047 281981 + 281981
10719 ENSG00000162496.8 chr1 12567910 12617731 49822 - 49822
4600 ENSG00000116731.22 chr1 13700198 13825079 124882 + 124882
16913 ENSG00000189337.16 chr1 13892792 15118043 1225252 + 1225252
13103 ENSG00000171729.13 chr1 15152532 15220480 67949 + 67949
8239 ENSG00000142621.19 chr1 15247272 15400283 153012 + 153012
27746 ENSG00000228140.1 chr1 15402979 15409433 6455 - 6455
8243 ENSG00000142634.12 chr1 15409895 15430343 20449 + 20449
10708 ENSG00000162438.11 chr1 15438439 15449242 10804 + 10804
8237 ENSG00000142615.7 chr1 15456728 15472091 15364 + 15364
6665 ENSG00000132906.17 chr1 15490832 15526534 35703 - 35703
4525 ENSG00000116138.12 chr1 15526813 15592379 65567 + 65567
4609 ENSG00000116771.5 chr1 15572353 15585110 12758 - 12758
32476 ENSG00000235084.3 chr1 15604597 15605043 447 + 447
17352 ENSG00000197312.11 chr1 15617500 15669044 51545 + 51545
4613 ENSG00000116786.11 chr1 15684332 15734769 50438 + 50438
34424 ENSG00000237938.5 chr1 15720312 15736896 16585 - 16585
10714 ENSG00000162461.7 chr1 15736405 15741396 4992 + 4992
10712 ENSG00000162458.12 chr1 15756607 15786594 29988 + 29988
31707 ENSG00000233954.6 chr1 15807169 15809348 2180 - 2180
14502 ENSG00000178715.8 chr1 15828232 15828669 438 + 438
14696 ENSG00000179743.4 chr1 15834474 15836906 2433 - 2433
931 ENSG00000065526.10 chr1 15847864 15940460 92597 + 92597
4616 ENSG00000116809.11 chr1 15941869 15976132 34264 - 34264
13529 ENSG00000173641.17 chr1 16014028 16019594 5567 - 5567
8241 ENSG00000142627.12 chr1 16124337 16156087 31751 - 31751
8242 ENSG00000142632.16 chr1 16198217 16212609 14393 - 14393
33962 ENSG00000237276.8 chr1 16215909 16228027 12119 - 12119
6664 ENSG00000132881.11 chr1 16231700 16237162 5463 - 5463
31688 ENSG00000233929.1 chr1 16241213 16241398 186 - 186
539 ENSG00000037637.10 chr1 16246839 16352454 105616 - 105616
741 ENSG00000055070.16 chr1 16352575 16398145 45571 + 45571
10049 ENSG00000157191.19 chr1 16440672 16460078 19407 + 19407
26303 ENSG00000226029.1 chr1 16460948 16463287 2340 + 2340
1514 ENSG00000080947.14 chr1 16467436 16499257 31822 - 31822
23577 ENSG00000219481.10 chr1 16562319 16613562 51244 - 51244
23155 ENSG00000215908.10 chr1 16618253 16657232 38980 - 38980
16185 ENSG00000186301.8 chr1 16645622 16650289 4668 + 4668
16283 ENSG00000186715.10 chr1 16754910 16770237 15328 - 15328
34572 ENSG00000238142.1 chr1 16888538 16889649 1112 - 1112
32590 ENSG00000235241.1 chr1 16889095 16889547 453 + 453
787 ENSG00000058453.16 chr1 16921950 16972979 51030 + 51030
10318 ENSG00000159363.17 chr1 16985958 17011928 25971 - 25971
4659 ENSG00000117118.9 chr1 17018722 17054170 35449 - 35449
4658 ENSG00000117115.12 chr1 17066761 17119435 52675 - 52675
10314 ENSG00000159339.13 chr1 17308195 17364004 55810 + 55810
53004 ENSG00000276747.1 chr1 17372196 17401699 29504 + 29504
14572 ENSG00000179051.13 chr1 17407005 17439724 32720 - 32720
1280 ENSG00000074964.16 chr1 17539835 17697869 158035 + 158035
10327 ENSG00000159423.16 chr1 18871430 18902781 31352 - 31352
12696 ENSG00000169991.10 chr1 18904281 18956686 52406 - 52406
50814 ENSG00000272084.1 chr1 19072110 19075511 3402 - 3402
5911 ENSG00000127481.14 chr1 19076740 19210276 133537 - 133537
29299 ENSG00000230424.1 chr1 19210501 19240296 29796 + 29796
5909 ENSG00000127463.13 chr1 19215664 19251538 35875 - 35875
709 ENSG00000053372.4 chr1 19251553 19260128 8576 + 8576
10715 ENSG00000162482.4 chr1 19282558 19289250 6693 - 6693
708 ENSG00000053371.12 chr1 19303965 19312146 8182 - 8182
567 ENSG00000040487.12 chr1 19312326 19329300 16975 + 16975
1390 ENSG00000077549.17 chr1 19338776 19485539 146764 - 146764
13486 ENSG00000173436.13 chr1 19596977 19629821 32845 + 32845
26558 ENSG00000226396.1 chr1 19608114 19608568 455 + 455
10233 ENSG00000158747.13 chr1 19640554 19658456 17903 + 17903
10728 ENSG00000162542.13 chr1 19682213 19799945 117733 - 117733
12678 ENSG00000169914.5 chr1 19882513 19912945 30433 + 30433
16635 ENSG00000188257.10 chr1 19975431 19980416 4986 - 4986
10729 ENSG00000162543.5 chr1 20186085 20196048 9964 + 9964
10730 ENSG00000162545.5 chr1 20482391 20486220 3830 - 3830
1876 ENSG00000090432.6 chr1 20499448 20508161 8714 - 8714
10247 ENSG00000158825.5 chr1 20588948 20618908 29961 + 29961
10248 ENSG00000158828.7 chr1 20633455 20645723 12269 + 12269
4675 ENSG00000117242.7 chr1 20642657 20651766 9110 - 9110
36849 ENSG00000244038.9 chr1 20652194 20661544 9351 - 9351
5912 ENSG00000127483.17 chr1 20742661 20787323 44663 - 44663
1288 ENSG00000075151.20 chr1 20806292 21176888 370597 - 370597
4681 ENSG00000117298.14 chr1 21217247 21345504 128258 - 128258
33729 ENSG00000236936.1 chr1 21266082 21267251 1170 + 1170
29767 ENSG00000231105.1 chr1 21293290 21299774 6485 + 6485
8264 ENSG00000142794.18 chr1 21440128 21485005 44878 + 44878
10731 ENSG00000162551.13 chr1 21509372 21578412 69041 + 69041
31343 ENSG00000233431.1 chr1 21586472 21591187 4716 + 4716
1357 ENSG00000076864.19 chr1 21596215 21669363 73149 - 73149
1894 ENSG00000090686.15 chr1 21678298 21783606 105309 - 105309
16554 ENSG00000187942.11 chr1 21812265 21825221 12957 + 12957
8265 ENSG00000142798.17 chr1 21827863 21937297 109435 - 109435
23520 ENSG00000219073.7 chr1 21977021 21998642 21622 + 21622
8263 ENSG00000142789.19 chr1 22001656 22012539 10884 + 10884
23453 ENSG00000218510.6 chr1 22024531 22031225 6695 + 6695
1134 ENSG00000070831.15 chr1 22052627 22092946 40320 + 40320
50687 ENSG00000271840.1 chr1 22100613 22101360 748 + 748
10732 ENSG00000162552.14 chr1 22117305 22143969 26665 - 26665
15764 ENSG00000184677.16 chr1 22451851 22531157 79307 + 79307
13473 ENSG00000173372.16 chr1 22636506 22639608 3103 + 3103
10286 ENSG00000159189.11 chr1 22643630 22648110 4481 + 4481
13472 ENSG00000173369.15 chr1 22652762 22661538 8777 + 8777
6721 ENSG00000133216.16 chr1 22710839 22921500 210662 + 210662
54 ENSG00000004487.15 chr1 23019448 23083689 64242 + 64242
12613 ENSG00000169641.13 chr1 23084023 23177808 93786 - 93786
46094 ENSG00000261326.2 chr1 23281309 23286752 5444 - 5444
5752 ENSG00000125944.18 chr1 23303771 23344336 40566 - 40566
5753 ENSG00000125945.14 chr1 23359448 23368386 8939 - 8939
38005 ENSG00000249087.6 chr1 23368997 23371839 2843 + 2843
19722 ENSG00000204219.9 chr1 23381061 23424740 43680 - 43680
1765 ENSG00000088280.18 chr1 23428563 23484568 56006 - 56006
198 ENSG00000007968.6 chr1 23506430 23531220 24791 - 24791
4684 ENSG00000117318.8 chr1 23557918 23559794 1877 - 1877
17530 ENSG00000197880.8 chr1 23581495 23640568 59074 + 59074
8249 ENSG00000142676.12 chr1 23691779 23696425 4647 + 4647
276 ENSG00000011007.12 chr1 23743155 23762059 18905 + 18905
33640 ENSG00000236810.5 chr1 23771611 23778287 6677 - 6677
777 ENSG00000057757.9 chr1 23778405 23788232 9828 + 9828
277 ENSG00000011009.10 chr1 23790970 23795539 4570 + 4570
4683 ENSG00000117308.14 chr1 23795599 23800804 5206 - 5206
4682 ENSG00000117305.14 chr1 23801885 23838620 36736 - 36736
14603 ENSG00000179163.11 chr1 23845077 23868294 23218 - 23218
16787 ENSG00000188822.7 chr1 23870526 23913362 42837 - 42837
28385 ENSG00000229106.1 chr1 23901471 23902737 1267 - 1267
16895 ENSG00000189266.11 chr1 23959109 23963462 4354 + 4354
16704 ENSG00000188529.14 chr1 23964804 23980927 16124 - 16124
8246 ENSG00000142661.18 chr1 24056035 24112175 56141 - 56141
15953 ENSG00000185436.11 chr1 24154157 24187959 33803 - 33803
11 ENSG00000001460.17 chr1 24356999 24416934 59936 - 59936
12 ENSG00000001461.16 chr1 24419291 24472976 53686 + 53686
4730 ENSG00000117602.11 chr1 24502351 24541040 38690 + 38690
6722 ENSG00000133226.16 chr1 24631716 24673267 41552 + 41552
12583 ENSG00000169504.14 chr1 24745357 24844324 98968 + 98968
403 ENSG00000020633.18 chr1 24899511 24965121 65611 - 65611
28422 ENSG00000229162.1 chr1 24961345 24963097 1753 + 1753
4731 ENSG00000117614.9 chr1 25222679 25232502 9824 - 9824
4732 ENSG00000117616.17 chr1 25242237 25337916 95680 - 95680
46110 ENSG00000261349.1 chr1 25266102 25267136 1035 - 1035
16352 ENSG00000187010.19 chr1 25272393 25330445 58053 + 58053
25040 ENSG00000224183.1 chr1 25294164 25294643 480 - 480
45159 ENSG00000259984.1 chr1 25336429 25336461 33 - 33
15535 ENSG00000183726.10 chr1 25338214 25362248 24035 + 24035
16740 ENSG00000188672.17 chr1 25362362 25430192 67831 - 67831
19710 ENSG00000204178.9 chr1 25430858 25500209 69352 + 69352
10136 ENSG00000157978.11 chr1 25543580 25568886 25307 + 25307
4737 ENSG00000117643.14 chr1 25617468 25786207 168740 + 168740
31376 ENSG00000233478.1 chr1 25644544 25659111 14568 - 14568
10704 ENSG00000162430.16 chr1 25800176 25818222 18047 + 18047
27769 ENSG00000228172.5 chr1 25818225 25820761 2537 - 2537
4736 ENSG00000117640.17 chr1 25820798 25832942 12145 + 12145
5906 ENSG00000127423.10 chr1 25834006 25859458 25453 - 25453
15289 ENSG00000182749.5 chr1 25861210 25871253 10044 - 10044
4735 ENSG00000117632.22 chr1 25884181 25906991 22811 - 22811
10140 ENSG00000158006.13 chr1 25959767 25998157 38391 - 38391
10144 ENSG00000158022.6 chr1 26051304 26068436 17133 - 17133
13787 ENSG00000175087.9 chr1 26111165 26125543 14379 + 14379
8251 ENSG00000142684.8 chr1 26170814 26170873 60 + 60
8248 ENSG00000142675.17 chr1 26177403 26189886 12484 + 12484
6298 ENSG00000130695.14 chr1 26234153 26279038 44886 + 44886
8247 ENSG00000142669.14 chr1 26279176 26281327 2152 + 2152
10149 ENSG00000158062.20 chr1 26281523 26318363 36841 - 36841
12574 ENSG00000169442.8 chr1 26317957 26320523 2567 + 2567
13977 ENSG00000176092.14 chr1 26321859 26360052 38194 - 38194
13975 ENSG00000176083.17 chr1 26361634 26374522 12889 - 12889
4740 ENSG00000117682.16 chr1 26432282 26471294 39013 + 39013
26205 ENSG00000225891.1 chr1 26462756 26467282 4527 - 4527
17861 ENSG00000198830.10 chr1 26472450 26475972 3523 + 3523
4739 ENSG00000117676.13 chr1 26529761 26575030 45270 + 45270
4744 ENSG00000117713.18 chr1 26696032 26782104 86073 + 86073
816 ENSG00000060642.10 chr1 26787472 26798398 10927 + 10927
19701 ENSG00000204160.11 chr1 26826710 26857602 30893 + 30893
13928 ENSG00000175793.11 chr1 26863138 26864457 1320 + 1320
8260 ENSG00000142751.14 chr1 26876311 26890297 13987 - 13987
17819 ENSG00000198746.12 chr1 26890488 26900466 9979 - 9979
1869 ENSG00000090273.13 chr1 26902282 26946862 44581 + 44581
13907 ENSG00000175707.8 chr1 26949562 26960406 10845 - 10845
40850 ENSG00000253368.3 chr1 26993707 27000898 7192 + 7192
1860 ENSG00000090020.10 chr1 27098815 27166981 68167 - 68167
8262 ENSG00000142784.15 chr1 27234516 27308633 74118 + 74118
36687 ENSG00000243659.1 chr1 27311240 27311838 599 + 599
16237 ENSG00000186501.14 chr1 27322145 27336400 14256 + 14256
8261 ENSG00000142765.17 chr1 27342020 27353932 11913 + 11913
8258 ENSG00000142733.14 chr1 27355184 27366892 11709 - 11709
8259 ENSG00000142748.12 chr1 27369112 27374824 5713 - 5713
15067 ENSG00000181773.6 chr1 27392644 27395814 3171 + 3171
10167 ENSG00000158195.10 chr1 27404226 27490158 85933 - 85933
5830 ENSG00000126705.13 chr1 27534035 27604431 70397 - 70397
6 ENSG00000000938.12 chr1 27612064 27635277 23214 - 23214
5831 ENSG00000126709.14 chr1 27666061 27672218 6158 - 6158
240 ENSG00000009780.15 chr1 27725979 27763122 37144 + 37144
4748 ENSG00000117758.13 chr1 27773183 27824452 51270 + 51270
4747 ENSG00000117751.17 chr1 27830778 27851676 20899 + 20899
6330 ENSG00000130775.15 chr1 27872543 27886685 14143 + 14143
4746 ENSG00000117748.9 chr1 27891524 27914746 23223 - 23223
6327 ENSG00000130768.14 chr1 27934993 27959157 24165 + 24165
10160 ENSG00000158156.7 chr1 27959462 27968096 8635 + 8635
10162 ENSG00000158161.15 chr1 27970344 28088696 118353 - 118353
34632 ENSG00000238231.2 chr1 27990158 27990524 367 - 367
28048 ENSG00000228589.3 chr1 28095742 28096422 681 - 681
40553 ENSG00000253005.1 chr1 28142737 28142841 105 - 105
12564 ENSG00000169403.11 chr1 28147166 28193936 46771 - 46771
5829 ENSG00000126698.10 chr1 28199456 28233025 33570 - 33570
6328 ENSG00000130770.17 chr1 28236109 28246906 10798 + 10798
49934 ENSG00000270605.1 chr1 28239509 28241453 1945 - 1945
6326 ENSG00000130766.4 chr1 28259527 28282491 22965 + 22965
6329 ENSG00000130772.13 chr1 28329002 28335967 6966 + 6966
19695 ENSG00000204138.12 chr1 28369582 28500369 130788 + 130788
14788 ENSG00000180198.15 chr1 28505943 28539300 33358 + 33358
51879 ENSG00000274266.1 chr1 28507366 28507571 206 + 206
18386 ENSG00000200087.1 chr1 28508559 28508762 204 + 204
14771 ENSG00000180098.9 chr1 28553085 28578537 25453 + 25453
17573 ENSG00000197989.13 chr1 28578546 28582983 4438 - 4438
23872 ENSG00000221539.1 chr1 28578749 28578822 74 - 74
53702 ENSG00000278274.1 chr1 28579764 28579893 130 - 130
51546 ENSG00000273544.1 chr1 28580381 28580512 132 - 132
5061 ENSG00000120656.11 chr1 28589323 28643085 53763 - 53763
16594 ENSG00000188060.7 chr1 28592200 28595443 3244 + 3244
10702 ENSG00000162419.12 chr1 28668732 28719353 50622 + 50622
17725 ENSG00000198492.15 chr1 28736621 28769775 33155 + 33155
4553 ENSG00000116329.10 chr1 28812142 28871267 59126 + 59126
10265 ENSG00000159023.19 chr1 28887091 29119427 232337 + 232337
4555 ENSG00000116350.16 chr1 29147743 29181987 34245 - 34245
4556 ENSG00000116353.15 chr1 29192873 29230942 38070 - 38070
817 ENSG00000060656.19 chr1 29236516 29326813 90298 + 90298
10720 ENSG00000162510.5 chr1 30711277 30723587 12311 - 12311
16116 ENSG00000186056.9 chr1 30718504 30726827 8324 + 8324
10721 ENSG00000162511.7 chr1 30732469 30757820 25352 - 25352
47409 ENSG00000264773.1 chr1 30739156 30739232 77 - 77
10722 ENSG00000162512.15 chr1 30869467 30908761 39295 - 39295
6924 ENSG00000134644.15 chr1 30931506 31065991 134486 - 134486
818 ENSG00000060688.12 chr1 31259568 31296782 37215 - 37215
5185 ENSG00000121766.15 chr1 31296982 31364953 67972 + 67972
5186 ENSG00000121769.7 chr1 31365625 31376850 11226 - 11226
12355 ENSG00000168528.11 chr1 31409565 31434680 25116 + 25116
