names.pvalb.,pvalb,permp
ENSG00000181404.15_121,5.29141201910151e-05,0.028
ENSG00000181404.15_122,0.000107531753534619,0.058
ENSG00000181404.15_123,9.73640945592639e-06,0.005
ENSG00000181404.15_124,1.8760000489558e-05,0.019
ENSG00000181404.15_125,2.58247782824967e-05,0.023
ENSG00000181404.15_126,0.000107503204078873,0.056
ENSG00000181404.15_127,2.05176147173747e-05,0.014
ENSG00000181404.15_128,1.23140195144705e-06,0.001
ENSG00000181404.15_129,0.000140857551305395,0.075
ENSG00000181404.15_130,0.000189177003400352,0.103
ENSG00000181404.15_131,4.60617964266052e-06,0.004
ENSG00000181404.15_132,4.16420223639108e-05,0.024
ENSG00000181404.15_133,8.58561225353147e-05,0.039
ENSG00000181404.15_134,0.000243167366395418,0.119
ENSG00000181404.15_135,9.56830993279913e-05,0.052
ENSG00000181404.15_136,0.000293550805164609,0.101
ENSG00000181404.15_137,0.000312566662888918,0.129
ENSG00000181404.15_138,0.000218573298955082,0.103
ENSG00000181404.15_139,1.7192792362621e-05,0.009
ENSG00000181404.15_140,7.20134297792264e-05,0.041
ENSG00000181404.15_141,5.35991475978089e-06,0
ENSG00000181404.15_142,0.000427799177582104,0.147
ENSG00000181404.15_143,0.000485019324270112,0.177
ENSG00000181404.15_144,6.70577480989152e-05,0.047
ENSG00000181404.15_145,1.36254916699743e-05,0.009
ENSG00000181404.15_146,0.000251727783150409,0.087
ENSG00000181404.15_147,0.000180780024063172,0.069
ENSG00000181404.15_148,1.1485019660582e-05,0.008
ENSG00000181404.15_149,0.000155086887186176,0.066
ENSG00000181404.15_150,0.00061642922174035,0.229
ENSG00000181404.15_151,0.00026668160982921,0.14
ENSG00000181404.15_152,0.000246848904985161,0.117
ENSG00000181404.15_153,0.000460154632389247,0.173
ENSG00000181404.15_154,3.44435876590696e-05,0.015
ENSG00000181404.15_155,0.000175905042409679,0.063
ENSG00000181404.15_156,0.000248247246172335,0.102
ENSG00000181404.15_157,1.66004352860843e-05,0.009
ENSG00000181404.15_158,0.000555642914897738,0.186
ENSG00000181404.15_159,0.000662699785576199,0.221
ENSG00000181404.15_160,0.000671434937433108,0.236
ENSG00000181404.15_161,0.000822206867161523,0.247
ENSG00000181404.15_162,0.000308886405935819,0.12
ENSG00000181404.15_163,2.15923564645784e-05,0.016
ENSG00000181404.15_164,3.89145129406666e-05,0.017
ENSG00000181404.15_165,0.000203553705249052,0.096
ENSG00000181404.15_166,0.00051200939282941,0.208
