GeneRowID	MarkerRowID	TReC_b	TReC_Chisq	TReC_Pvalue	TreC_Conv	beta0	beta1	beta2	beta3	phi
2	61	-0.0898	1.5529	0.2127046053	1	5.1532	0.1162	-0.4600	0.0974	0.0977
2	62	-0.0051	0.0053	0.9420606912	1	5.1370	0.1116	-0.4575	0.1029	0.0982
2	63	-0.0220	0.1074	0.7431329008	1	5.1393	0.1112	-0.4564	0.1038	0.0981
2	64	0.0165	0.0648	0.7990009205	1	5.1316	0.1099	-0.4547	0.1036	0.0982
2	65	-0.0062	0.0087	0.9256647024	1	5.1375	0.1114	-0.4577	0.1031	0.0982
2	66	-0.0368	0.3353	0.5625299389	1	5.1422	0.1129	-0.4572	0.1043	0.0981
2	67	-0.0600	0.8767	0.3491180847	1	5.1473	0.1117	-0.4564	0.1062	0.0979
2	68	0.0468	0.5242	0.4690682799	1	5.1250	0.1115	-0.4527	0.1009	0.0980
2	69	0.0214	0.1131	0.7366691218	1	5.1315	0.1107	-0.4572	0.1028	0.0981
2	70	0.0426	0.4087	0.5226227629	1	5.1287	0.1110	-0.4561	0.1008	0.0980
2	71	0.0584	0.6933	0.4050292390	1	5.1296	0.1136	-0.4600	0.0930	0.0979
2	72	-0.0167	0.0670	0.7957450296	0	5.1384	0.1114	-0.4561	0.1030	0.0982
2	73	0.0334	0.2332	0.6291281816	1	5.1324	0.1094	-0.4584	0.1010	0.0981
2	74	0.0327	0.2201	0.6389565960	1	5.1295	0.1088	-0.4580	0.1076	0.0981
2	75	-0.1365	3.8245	0.0505069585	1	5.1617	0.1158	-0.4477	0.0873	0.0969
2	76	-0.0682	1.1351	0.2866966005	1	5.1485	0.1162	-0.4589	0.1060	0.0978
2	77	0.0515	0.6518	0.4194528138	1	5.1247	0.1126	-0.4589	0.1034	0.0980
2	78	0.1307	3.7658	0.0523096651	1	5.1115	0.0985	-0.4504	0.1028	0.0969
2	79	0.0448	0.5061	0.4768368274	1	5.1265	0.1102	-0.4578	0.1032	0.0980
2	80	0.0608	0.7002	0.4027233284	1	5.1231	0.1156	-0.4581	0.1047	0.0980
2	81	0.0806	1.6831	0.1945079666	1	5.1109	0.1127	-0.4474	0.1080	0.0976
2	82	0.0835	1.6680	0.1965222555	1	5.1193	0.1097	-0.4584	0.1060	0.0976
2	83	-0.0012	0.0003	0.9859040015	1	5.1364	0.1113	-0.4576	0.1033	0.0982
2	84	0.0740	1.2581	0.2620136174	1	5.1180	0.1177	-0.4545	0.0992	0.0978
2	85	-0.0017	0.0007	0.9786703746	1	5.1368	0.1111	-0.4578	0.1032	0.0982
2	86	-0.0051	0.0054	0.9416873041	1	5.1368	0.1118	-0.4575	0.1032	0.0982
2	87	0.0195	0.0776	0.7806286738	1	5.1326	0.1126	-0.4581	0.1022	0.0982
2	88	-0.0150	0.0538	0.8166348831	1	5.1390	0.1111	-0.4566	0.1026	0.0982
2	89	0.0169	0.0684	0.7937246108	1	5.1319	0.1125	-0.4573	0.1029	0.0982
2	90	-0.0061	0.0103	0.9193128419	1	5.1382	0.1110	-0.4578	0.1025	0.0982
2	91	0.0312	0.2508	0.6165386084	1	5.1271	0.1118	-0.4548	0.1042	0.0981
2	92	-0.0195	0.0733	0.7866306231	1	5.1403	0.1110	-0.4594	0.1040	0.0982
2	93	0.0859	1.9660	0.1608759205	1	5.1119	0.1063	-0.4563	0.1163	0.0975
2	94	-0.0272	0.1736	0.6769287826	1	5.1415	0.1083	-0.4551	0.1058	0.0981
2	95	-0.0575	0.7111	0.3990760094	1	5.1531	0.1116	-0.4623	0.0976	0.0979
2	96	0.1306	3.9427	0.0470745294	1	5.1112	0.1043	-0.4518	0.1001	0.0968
2	97	0.0323	0.2534	0.6147062565	1	5.1293	0.1132	-0.4599	0.1033	0.0981
2	98	0.0108	0.0255	0.8730981690	1	5.1340	0.1111	-0.4574	0.1034	0.0982
2	99	0.0139	0.0416	0.8383143837	1	5.1344	0.1118	-0.4585	0.1018	0.0982
2	100	0.0327	0.2172	0.6411487721	1	5.1314	0.1110	-0.4587	0.1021	0.0981
